gps_millis,gnss_sv_id,gnss_id,sv_id,x_sv_m,y_sv_m,z_sv_m,el_sv_deg,az_sv_deg
1303668000000.0,45225,LEO,STARLINK-45225,-4766316.804356632,3249354.7229916723,3937266.62010661,,
1303668000000.0,45227,LEO,STARLINK-45227,-2146458.9087565234,3426194.93043164,-5229440.407370951,,
1303668000000.0,45228,LEO,STARLINK-45228,4154823.3249400733,317774.9857342967,5533645.859670054,,
1303668000000.0,45229,LEO,STARLINK-45229,-6499811.903085148,1682403.7101506474,-1606894.0986924234,,
1303668000000.0,45230,LEO,STARLINK-45230,1820944.549346293,-6037576.700711101,2891079.7750182794,,
1303668000000.0,45235,LEO,STARLINK-45235,2470093.0731940134,4762056.9004647825,4322393.9902994735,,
1303668000000.0,45237,LEO,STARLINK-45237,3846269.2717832876,-3046813.5594274243,4894404.624227528,,
1303668000000.0,45360,LEO,STARLINK-45360,-71551958038.59488,-8839861975.57717,-95798639477.39752,,
1303668000000.0,45361,LEO,STARLINK-45361,94547192443.07928,-16940590380.046198,124226455749.86421,,
1303668000000.0,45362,LEO,STARLINK-45362,248995712982.67453,-6883165635640.061,3495472608315.9595,,
1303668000000.0,45366,LEO,STARLINK-45366,5161442.270728151,-968479.3593777847,4594489.9066341985,,
1303668000000.0,45367,LEO,STARLINK-45367,2790053.874456317,2899931.675472589,5094484.662343872,,
1303668000000.0,45368,LEO,STARLINK-45368,5714931.323359675,-1185417.8610445035,3822434.049385324,,
1303668000000.0,45369,LEO,STARLINK-45369,-5722728.036360667,-4012139.0996908345,57998.516266815044,,
1303668000000.0,45370,LEO,STARLINK-45370,-2461219.18972493,-4966123.469872177,3997108.164845732,,
1303668000000.0,45374,LEO,STARLINK-45374,3946043.4330081968,-4220347.156653771,-3912877.4593402147,,
1303668000000.0,45375,LEO,STARLINK-45375,-4302000.051980461,-4026512.332684369,-3713656.6480984595,,
1303668000000.0,45376,LEO,STARLINK-45376,-5537059.925417559,4122385.298304516,-1042233.3529185519,,
1303668000000.0,45377,LEO,STARLINK-45377,-1499260587.5921445,-494657532.10577124,-615658003.9269785,,
1303668000000.0,45379,LEO,STARLINK-45379,30683555.556086924,9760319.72654356,41307597.03673251,,
1303668000000.0,45383,LEO,STARLINK-45383,-4035193.245282586,1755063.0339166163,-5433644.808793026,,
1303668000000.0,45384,LEO,STARLINK-45384,2175319.9897648506,3654698.781404804,5508429.410741523,,
1303668000000.0,45386,LEO,STARLINK-45386,3301513207.4383307,-2286969127.489965,2199847270.742471,,
1303668000000.0,45387,LEO,STARLINK-45387,326842240.34720004,-502477969.4260143,-458594029.4836934,,
1303668000000.0,45388,LEO,STARLINK-45388,42619737005.730354,68046901.68953343,40184882936.723434,,
1303668000000.0,45389,LEO,STARLINK-45389,1194648745.968807,1674602547.809076,1034100004.5153022,,
1303668000000.0,45390,LEO,STARLINK-45390,-3067802.7823965563,-3856938.6371873566,-4957491.64025067,,
1303668000000.0,45394,LEO,STARLINK-45394,-1.0594182154213883e+17,-4.354399151892558e+17,2.161011029188914e+17,,
1303668000000.0,45395,LEO,STARLINK-45395,-2300444.342184498,-3607660.9596274626,-5503960.233616173,,
1303668000000.0,45397,LEO,STARLINK-45397,-3012529.2715338417,2889679.2611707593,5531446.989689756,,
1303668000000.0,45398,LEO,STARLINK-45398,4.601198612506048e+21,8.165700059606787e+21,9.359549143232966e+21,,
1303668000000.0,45399,LEO,STARLINK-45399,-468408493.72514755,592384876.7846783,958047895.9588257,,
1303668000000.0,45404,LEO,STARLINK-45404,-1672250.2467165443,-3961451.274277333,-5492868.508798736,,
1303668000000.0,45405,LEO,STARLINK-45405,-2851623.8999954425,-3621016.733433714,-5219134.689456811,,
1303668000000.0,45406,LEO,STARLINK-45406,1620993.1238208183,5695034.996277749,-3559098.9120231466,,
1303668000000.0,45408,LEO,STARLINK-45408,-96805663.40924938,-144206973.89490014,49063228.46127114,,
1303668000000.0,45412,LEO,STARLINK-45412,-6253221.190097632,-2273311.370884374,1967338.4654065631,,
1303668000000.0,45413,LEO,STARLINK-45413,38418066.437578395,-24632.4727243805,8775721.27024774,,
1303668000000.0,45414,LEO,STARLINK-45414,-3478646.6618840555,-3331496.636695278,-5028592.188844716,,
