gps_millis,gnss_sv_id,gnss_id,sv_id,x_sv_m,y_sv_m,z_sv_m,el_sv_deg,az_sv_deg
1446684173000.0,45230,LEO,STARLINK-45230,-2204171.545901942,-3724296.6540034534,5396444.596190732,,
1446684173000.0,45235,LEO,STARLINK-45235,-6587743.975851406,-350112.43139061664,2099309.4955998063,,
1446684173000.0,45237,LEO,STARLINK-45237,-4506490.626629227,5254262.357607986,230180.89071498852,,
1446684173000.0,45360,LEO,STARLINK-45360,-3473677.675304065,2525637.8282020288,-5329604.2444741605,,
1446684173000.0,45361,LEO,STARLINK-45361,802644.0951216933,6782882.615108609,195889.71386125893,,
1446684173000.0,45362,LEO,STARLINK-45362,-2260335.1814289684,4369270.171473663,-4601879.483943508,,
1446684173000.0,45366,LEO,STARLINK-45366,2094509.446484152,4661756.6037026895,4663821.46037763,,
1446684173000.0,45367,LEO,STARLINK-45367,2427561.1373824896,-6482950.9971356075,215990.73390929165,,
1446684173000.0,45368,LEO,STARLINK-45368,-997145.7791875895,6649658.369432847,1652197.852225167,,
1446684173000.0,45369,LEO,STARLINK-45369,-3655398.927032276,5501395.873684751,-2092067.3244713263,,
1446684173000.0,45370,LEO,STARLINK-45370,-4337798.462720792,3901149.5857665916,-3740293.3762427256,,
1446684173000.0,45374,LEO,STARLINK-45374,3343028.944947733,2749360.545828477,5396012.038186842,,
1446684173000.0,45375,LEO,STARLINK-45375,3595267.616921803,-5533059.088713656,2095864.9347415261,,
1446684173000.0,45376,LEO,STARLINK-45376,-3350809.5952507365,-2752539.3149379543,-5406903.222710927,,
1446684173000.0,45377,LEO,STARLINK-45377,-2326284.161519177,-4536645.260626615,-4577163.641212532,,
1446684173000.0,45379,LEO,STARLINK-45379,148067.6649437737,-6410822.159170113,-2372350.16826414,,
1446684173000.0,45383,LEO,STARLINK-45383,630461.1336982078,6860042.524387643,708210.4890831467,,
1446684173000.0,45384,LEO,STARLINK-45384,-3960458.82491242,2139527.2836651686,-5270146.6344263945,,
1446684173000.0,45386,LEO,STARLINK-45386,-196338.9434497419,-6818212.471724151,469659.178921645,,
1446684173000.0,45387,LEO,STARLINK-45387,2298355.552205852,-4471191.3306453405,4650715.684737364,,
1446684173000.0,45388,LEO,STARLINK-45388,2218365.6790133496,4694217.419166556,4418610.513682943,,
1446684173000.0,45389,LEO,STARLINK-45389,3252965.277618284,-3642454.5975588816,4790177.118279212,,
1446684173000.0,45390,LEO,STARLINK-45390,1999827.5548348206,6120622.977241211,2541738.920166153,,
1446684173000.0,45394,LEO,STARLINK-45394,-2549837.60435516,-4950455.281615183,3604414.912692569,,
1446684173000.0,45395,LEO,STARLINK-45395,-3145798.8460250036,-4624629.16764947,-4092144.2257035477,,
1446684173000.0,45397,LEO,STARLINK-45397,-662642.3780527568,-6854387.695501468,-750386.4923703967,,
1446684173000.0,45398,LEO,STARLINK-45398,-4471756.505995482,1341041.5273407586,-4668031.862544494,,
1446684173000.0,45399,LEO,STARLINK-45399,-700129.4988981044,-6674800.563369838,1355141.8617465482,,
1446684173000.0,45404,LEO,STARLINK-45404,-2160589.9756099284,-6470607.4992128005,-1206162.808796683,,
1446684173000.0,45405,LEO,STARLINK-45405,3276520.7092996542,-3325550.405734353,5105340.052498417,,
1446684173000.0,45406,LEO,STARLINK-45406,728239.586511076,-6396251.631441187,2544997.1847073818,,
1446684173000.0,45408,LEO,STARLINK-45408,4073568.251141291,-3922922.2635481977,3838570.763619843,,
1446684173000.0,45412,LEO,STARLINK-45412,-762225.7943873154,-6846280.879357389,712090.4976514527,,
1446684173000.0,45413,LEO,STARLINK-45413,5101954.574765024,3875842.2248105602,2236273.285100811,,
