name,norad,epoch_utc,eci_x_km,eci_y_km,eci_z_km,eci_vx_kms,eci_vy_kms,eci_vz_kms,ecef_X_m,ecef_Y_m,ecef_Z_m,lat_deg,lon_deg,alt_km
,44759,2025-11-09T00:38:25Z,-5194.753420007053,-1588.072343171267,-3847.612164165561,4.554861233537269,-4.572753279276604,-4.261010476721061,-4111490.4070183965,3535806.131107073,-3860736.126790577,-35.62319921931228,139.3050747314285,285.7719628415763
,44761,2025-11-09T00:38:25Z,-513.4845731774535,4460.432808177211,4701.7705549266275,-7.106389963383166,1.9682071854775178,-2.6369277324259235,3490489.844015615,2826032.04053118,4700617.27137068,46.49400922268677,38.994934630401346,134.28233843745124
,44765,2025-11-09T00:38:25Z,-4570.324475828498,2526.035743384367,4273.819709487622,-5.579080299164152,-3.735758154098616,-3.742219242354947,-310836.0292627497,5222041.3380513815,4262385.274439313,39.35071676779103,93.40644632791106,378.3273353787013
,44768,2025-11-09T00:38:25Z,-4834.865812977304,168.61608834834493,4945.876668743266,-3.019757970622818,-6.4103346752793735,-2.725871727906855,-2446157.5180679355,4188204.024339479,4933692.452373056,45.665805028541975,120.28744151325061,551.2920603274915
,44771,2025-11-09T00:38:25Z,-4800.127580779322,-4982.687423205057,317.0895608303077,3.0808406211019608,-3.364790304871772,-6.065124418686819,-6776518.83699069,1398149.4265395734,304828.9913459823,2.538173224065372,168.34216594882074,547.8666439078247
,44772,2025-11-09T00:38:25Z,-2775.9228638316295,-4907.793249499846,-4029.276150456441,6.3316122326328035,-0.16468120062764993,-4.166397658825385,-5626257.608381538,-282427.24619635765,-4036423.491820079,-35.790151933729874,-177.12627488645285,559.308952931402
,44925,2025-11-09T00:38:25Z,-2516.4424417027035,-3407.285819406381,5282.375506490442,4.904898041531376,-5.741426441506376,-1.3672361763762526,-4231849.581633492,319148.64632870484,5275904.599959249,51.36384364758899,175.6871527094875,405.8064858534905
,44927,2025-11-09T00:38:25Z,-6731.411977985855,210.94704903099122,1608.8207977178154,1.2483635634138996,-4.7271238010346135,5.8065507896525625,-3418579.2094197194,5807234.5689401105,1591872.6911163214,13.370655395377282,120.48429775289642,547.2103836790543
,44930,2025-11-09T00:38:25Z,-2281.801077443485,4290.962940309944,-4941.576797299099,-7.0409015860981246,-0.590062642601653,2.741054074399253,2416138.981081234,4210232.51605264,-4947158.869708487,-45.71980372311035,60.149647409200625,563.7391233852276
,44933,2025-11-09T00:38:25Z,3059.188400721975,3632.390859464154,-4821.2768376481545,-3.1788813974820185,6.391087743735308,2.7981771788253953,4711373.546852409,-656838.1280479846,-4813432.885833306,-45.51923577410454,-7.936757730563655,400.0997560806853
